University	Faculty	Program (EN)	Program (ZH)	Degree	Mode	Duration	Tuition Total (HKD)	Tuition Annual (HKD)	Application Opens	Main Deadline	Late Deadline	IELTS	TOEFL	Other English	Other Requirements	Official URL
HKU	Faculty of Engineering	Master of Science in Computer Science	計算機科學碩士	MSc	Full-time & Part-time	1 year (FT) / 2 years (PT)	180000		1 Sep 2025	30 Nov 2025	28 Feb 2026	6.0 (sub 5.5)	80	N/A	Bachelor's in CS or related	https://www.msc-cs.hku.hk
HKU	Faculty of Business and Economics	Master of Finance	金融碩士	MSc	Full-time	1 year	396000		1 Sep 2025	14 Oct 2025	5 Jan 2026	7.0 (sub 6.5)	90	N/A	Strong quantitative background; work experience preferred	https://mfin.hku.hk
HKU	Faculty of Business and Economics	Master of Business Administration	工商管理碩士	MBA	Full-time	14 months	588000		1 Sep 2025	1 Nov 2025	4 Apr 2026	6.5 (sub 5.5)	80	GMAT/GRE required	Min 3 years work experience	https://mba.hku.hk
HKU	Faculty of Law	Master of Laws	法學碩士	LLM	Full-time & Part-time	1 year (FT) / 2 years (PT)	158400		1 Oct 2025	15 Jan 2026	N/A	7.0 (sub 6.5)	97	N/A	LLB or equivalent	https://www.law.hku.hk/llm
HKU	School of Public Health	Master of Public Health	公共衛生碩士	MPH	Full-time & Part-time	1 year (FT) / 2 years (PT)	168000		1 Sep 2025	30 Nov 2025	28 Feb 2026	6.0 (sub 5.5)	80	N/A	Health-related degree preferred	https://sph.hku.hk/en/study/postgraduate/mph
CUHK	Faculty of Engineering	MSc in Computer Science	計算機科學碩士	MSc	Full-time & Part-time	1 year (FT) / 2 years (PT)	210000		1 Sep 2025	15 Nov 2025	28 Feb 2026	6.5	79	N/A	Bachelor's in CS or related	https://www.cse.cuhk.edu.hk/msc
CUHK	Faculty of Arts	MA in Chinese Studies	中國研究文學碩士	MA	Full-time	1 year	125000		1 Sep 2025	31 Dec 2025	28 Feb 2026	6.5	79	N/A	Bachelor's in arts or related	https://www.arts.cuhk.edu.hk/~mac
CUHK	CUHK Business School	MSc in Finance	金融學碩士	MSc	Full-time	1 year	300000		1 Sep 2025	15 Oct 2025	31 Mar 2026	6.5	79	GMAT/GRE recommended	Strong quantitative skills	https://mscfin.bschool.cuhk.edu.hk
CUHK	Faculty of Education	Master of Education	教育碩士	MEd	Full-time & Part-time	1 year (FT) / 2 years (PT)	120000		1 Oct 2025	28 Feb 2026	N/A	6.5	79	N/A	Teaching experience preferred	https://www.fed.cuhk.edu.hk/med
CUHK	Faculty of Science	MSc in Data Science and Business Statistics	數據科學與商業統計碩士	MSc	Full-time	1 year	220000		1 Sep 2025	31 Jan 2026	N/A	6.5	79	N/A	Strong quantitative background	https://www.sta.cuhk.edu.hk/mscdatasci
